park_name,fountain_number,location_description,status,
NORWOOD,Norwood #6,BETWEEN TENNIS AND BASKETBALL COURTS,Continuous flow - To be assessed for repair/replacement/removal,
NORWOOD,Norwood #7,ON SIDEWALK ON NATOMA,In flushing protocol - 2017 EPA Test pending,
NOTTINGHAM,Nottingham #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
OAKDALE,Oakdale #1,NORTHWEST CORNER OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
OAKDALE,Oakdale #2,PLAYGROUND,Passed testing - returned to normal push-button operation,
OAKDALE,Oakdale #3,POOL DECK,Passed testing - returned to normal push-button operation,
OGDEN (WILLIAM),Ogden (William) #1,"ON PATH FROM 64TH AND RACINE ENTRANCE, NORTHWEST SIDE OF TRACK",Continuous flow - To be assessed for repair/replacement/removal,
OGDEN (WILLIAM),Ogden (William) #2,ON PATH NEAR 65TH AND LOOMIS ENTRANCE,Passed testing - returned to normal push-button operation,
OGDEN (WILLIAM),Ogden (William) #3,POOLDECK,Fountain Repaired - in flushing protocol,
OGDEN (WILLIAM),Ogden (William) #4,NORTH OF GAZEBO SHED/SPRAY POOL PUMP ROOM,Passed testing - returned to normal push-button operation,
OGDEN (WILLIAM),Ogden (William) #5,"ON CENTRAL PATH, NEAR 66TH AND LOOMIS ENTRANCE",Passed testing - returned to normal push-button operation,
OGDEN (WILLIAM),Ogden (William) #6,"ON BASKETBALL COURTS, WEST OF FIELDHOUSE",In flushing protocol - 2017 EPA Test pending,
O'HALLAREN (BERNARD),O'Hallaren (Bernard) #1,"SOUTHWEST OF PLAYGROUND, ON PATH",In flushing protocol - 2017 EPA Test pending,
O'HALLAREN (BERNARD),O'Hallaren (Bernard) #2,WEST SIDE OF FIELDHOUSE,Fountain Repaired - in flushing protocol,
OHIO,Ohio #1,"SOUTHEAST CORNER OF PARK, NEAR EASTERN ENTRANCE ON OHIO",Passed testing - returned to normal push-button operation,
OHIO & HARDING,Ohio & Harding #1,"ON HARDING, NORTH OF BASKETBALL COURT",Continuous flow - To be assessed for repair/replacement/removal,
OLYMPIA,Olympia #1,BY SPRAY FEATURE,Continuous flow - To be assessed for repair/replacement/removal,
OLYMPIA,Olympia #2,BY BASKETBALL COURT,Continuous flow - To be assessed for repair/replacement/removal,
OLYMPIA,Olympia #3,BY TENNIS COURT,Continuous flow - To be assessed for repair/replacement/removal,
ORIOLE,Oriole #1,"ON PATH, INSIDE PARK, ON ORIOLE",Passed testing - returned to normal push-button operation,
ORIOLE,Oriole #2,DIAMOND 4,Passed testing - returned to normal push-button operation,
ORIOLE,Oriole #3,"NORTH OF HILL, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
ORIOLE,Oriole #4,"BETWEEN DIAMONDS 2 AND 3, AT ALLEY",Passed testing - returned to normal push-button operation,
ORIOLE,Oriole #5,"BEHIND FIELDHOUSE, ON PATH",Continuous flow - Needs repair,
ORIOLE,Oriole #6,NEXT TO  TENNIS COURT AND PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
OWENS (JESSE),Owens (Jesse) #1,ON 87TH AT CHAPPEL,Passed testing - returned to normal push-button operation,
OWENS (JESSE),Owens (Jesse) #2,ON PATH FROM 89TH AT CHAPPEL,Continuous flow,
OZ,Oz #1,SOUTH OF PLAYGROUND,In flushing protocol - 2017 EPA Test pending,
OZ,Oz #2,NORTHWEST CORNER OF TENNIS COURTS,In flushing protocol - 2017 EPA Test pending,
OZ,Oz #3,CORNER OF DICKENS AND BURLING,Passed testing - returned to normal push-button operation,
PACKINGTOWN,Packingtown #1,"NORTHEAST CORNER, ON LAFLIN",Passed testing - returned to normal push-button operation,
PALMER (JOHN MCAULEY) SQUARE,Palmer (John McAuley) Square #1,"NORTH-CENTER AREA OF PARK, AT RAISED CROSSWALK",Passed testing - returned to normal push-button operation,
PALMER (JOHN MCAULEY) SQUARE,Palmer (John McAuley) Square #2,"NORTH EAST AREA OF PARK, AT ABOUT 3015 W PALMER",Passed testing - returned to normal push-button operation,
PALMER (POTTER),Palmer (Potter) #1,POOL DECK NEAR WATERSLIDE,Passed testing - returned to normal push-button operation,
PALMER (POTTER),Palmer (Potter) #2,RUNNING TRACK NEXT TO FILTER ROOM,Passed testing - returned to normal push-button operation,
PALMER (POTTER),Palmer (Potter) #3,EAST OF PLAYGROUND EAST OF SPRAYPOOL,Passed testing - returned to normal push-button operation,
PALMER (POTTER),Palmer (Potter) #4,"BETWEEN TENNIS COURTS AND BASKETBALL COURT, ON CENTRAL PATH",Passed testing - returned to normal push-button operation,
PALMER (POTTER),Palmer (Potter) #5,"BEHIND HOME PLATE, EAST DIAMOND, ON PATH",Passed testing - returned to normal push-button operation,
PALMER (POTTER),Palmer (Potter) #6,"SOUTH SIDE OF PARK, AT ABOUT CALUMET, ON CENTRAL PATH",Passed testing - returned to normal push-button operation,
PALMER (POTTER),Palmer (Potter) #7,"BEHIND FIRST BASE OF WEST DIAMOND, IN FIELD",Passed testing - returned to normal push-button operation,
PALMER (POTTER),Palmer (Potter) #8,BEHIND HOME PLATE OF WEST DIAMOND,Passed testing - returned to normal push-button operation,
PALMISANO (HENRY),Palmisano (Henry) #1,NORTHEAST ENTRANCE,Passed testing - returned to normal push-button operation,
PARK NO. 399,Park No. 399 #1,WEST SIDE OF PARK NEAR ALLEY,Passed testing - returned to normal push-button operation,
PARK NO. 422,Park No. 422 #1,NEAR FRONT ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
PARK NO. 500,Park No. 500 #1,"EAST SIDE OF PARK, SOUTH OF PLAYGROUND",Passed testing - returned to normal push-button operation,
PARK NO. 514,Park No. 514 #1,NORTH OF NORTH ENTRANCE,Passed testing - returned to normal push-button operation,
PARK NO. 517,Park No. 517 #1,NORTHWEST CORNER OF PARK,Passed testing - returned to normal push-button operation,
PARK NO. 519,Park No. 519 #1,NEAR ENTRANCE,Passed testing - returned to normal push-button operation,
PARK NO. 529,Park No. 529 #1,SOUTHWEST CORNER,Passed testing - returned to normal push-button operation,
PARK NO. 534,Park No. 534 #1,WEST SIDE ENTRANCE,Passed testing - returned to normal push-button operation,
PARK NO. 534,Park No. 534 #2,EAST SIDE ENTRANCE,Passed testing - returned to normal push-button operation,
PARK NO. 535,Park No. 535 #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
PARK NO. 540,Park No. 540 #1,"IN PLAYGROUND, NORTHEAST CORNER OF PARK",Passed testing - returned to normal push-button operation,
PARK NO. 540,Park No. 540 #2,SOUTHWEST AREA OF PARK BEHIND BASEBALL DIAMOND,Passed testing - returned to normal push-button operation,
PARK NO. 546 (Lake Shore East Park),Park No. 546 (Lake Shore East Park) #1,NORTH SIDE OF PARK NEAR MAIN ENTRANCE,Passed testing - returned to normal push-button operation,
PARK NO. 546 (Lake Shore East Park),Park No. 546 (Lake Shore East Park) #2,PLAYGROUND,Passed testing - returned to normal push-button operation,
PARK NO. 546 (Lake Shore East Park),Park No. 546 (Lake Shore East Park) #3,DOG PARK,Passed testing - returned to normal push-button operation,
PARK NO. 546 (Lake Shore East Park),Park No. 546 (Lake Shore East Park) #4,DOG PARK,Passed testing - returned to normal push-button operation,
PARK NO. 546 (Lake Shore East Park),Park No. 546 (Lake Shore East Park) #5,SOUTH SIDE MAIN ENTRANCE,Passed testing - returned to normal push-button operation,
PARK NO. 551,Park No. 551 #1,"NEAR NORTH EAST PARK ENTRANCE, NORTH OF PLAYGROUND",Passed testing - returned to normal push-button operation,
PARK NO. 551,Park No. 551 #2,"NEAR SOUTHEAST PARK ENTRANCE, IN DOG AREA",Passed testing - returned to normal push-button operation,
PARK NO. 552,Park No. 552 #1,NORTHEAST CORNER OF PARK,Passed testing - returned to normal push-button operation,
PARK NO. 556 (Logan Dog Park),Park No. 556 (Logan Dog Park) #1,IN ENCLOSED DOG AREA,Passed testing - returned to normal push-button operation,
PARK NO. 568,Park No. 568 #1,"OFF WESTERN, AT ARDMORE",Passed testing - returned to normal push-button operation,
PARK NO. 569,Park No. 569 #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
"PARK NO. 572 (Bloomingdale Trail ""606"")","Park No. 572 (Bloomingdale Trail ""606"") #1",AT RIDGEWAY,Passed testing - returned to normal push-button operation,
"PARK NO. 572 (Bloomingdale Trail ""606"")","Park No. 572 (Bloomingdale Trail ""606"") #2",AT MOZART,Passed testing - returned to normal push-button operation,
"PARK NO. 572 (Bloomingdale Trail ""606"")","Park No. 572 (Bloomingdale Trail ""606"") #3",AT MAPLEWOOD,Passed testing - returned to normal push-button operation,
PARK NO. 574,Park No. 574 #1,"EAST SIDE OF PARK, NEAR MAPLEWOOD AND ADAMS",Passed testing - returned to normal push-button operation,
PARK WEST,Park West #1,AT ENTRANCE ON WRIGHTWOOD,Continuous flow - To be assessed for repair/replacement/removal,
PARK-VIEW,Park-View #1,SOUTH END OF PARK,Off. To be assessed for repair/replacement/removal,
PARSONS (LUCY),Parsons (Lucy) #1,NEAR PARK ENTRANCE ON BELMONT,Passed testing - returned to normal push-button operation,
PASCHEN (CHRISTIAN),Paschen (Christian) #1,WEST OF PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
PASTEUR (LOUIS),Pasteur (Louis) #1,"NORTHWEST CORNER, AT 57TH AND KOSTNER",Passed testing - returned to normal push-button operation,
PASTEUR (LOUIS),Pasteur (Louis) #2,"SOUTH OF FIELDHOUSE, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
PENDLETON (HADIYA),Pendleton (Hadiya) #1,(LOC. NEEDED),Passed testing - returned to normal push-button operation,
PERIWINKLE,Periwinkle #1,ENTRANCE AT 66TH AND LAYFAYETTE,Continuous flow - To be assessed for repair/replacement/removal,
PETERSON (PEHR SAMUEL),Peterson (Pehr Samuel) #1,"WEST OF NORTH BASEBALL DIAMOND, EAST OF BASKETBALL COURT, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
PETERSON (PEHR SAMUEL),Peterson (Pehr Samuel) #2,BEHIND HOME PLATE OF SOUTH BASEBALL DIAMOND,Continuous flow - To be assessed for repair/replacement/removal,
PETERSON (PEHR SAMUEL),Peterson (Pehr Samuel) #3,"BY PLAYLOT, EAST OF FIELDHOUSE",Passed testing - returned to normal push-button operation,
PIETROWSKI (SYLVESTER),Pietrowski (Sylvester) #1,NORTHWEST CORNER OF COMFORT STATION,Passed testing - returned to normal push-button operation,
PINE,Pine #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
PIOTROWSKI (LILLIAN),Piotrowski (Lillian) #1,SOUTHWEST CORNER OF PARKING LOT,Passed testing - returned to normal push-button operation,
PIOTROWSKI (LILLIAN),Piotrowski (Lillian) #2,SOUTHEAST CORNER OF PLAYGROUND,Passed testing - returned to normal push-button operation,
PIOTROWSKI (LILLIAN),Piotrowski (Lillian) #3,DIAMOND #4,Continuous flow - To be assessed for repair/replacement/removal,
PIOTROWSKI (LILLIAN),Piotrowski (Lillian) #4,DIAMOND #1,Continuous flow - To be assessed for repair/replacement/removal,
PIOTROWSKI (LILLIAN),Piotrowski (Lillian) #5,DIAMOND #6,Passed testing - returned to normal push-button operation,
PIOTROWSKI (LILLIAN),Piotrowski (Lillian) #6,DIAMOND #3,Continuous flow - To be assessed for repair/replacement/removal,
PLEASANT POINT,Pleasant Point #1,"SOUTH OF BASKETBALL COURT, ON NEWCASTLE ENTRANCE",Passed testing - returned to normal push-button operation,
POPLAR,Poplar #1,INSIDE PARK ENTRANCE,Passed testing - returned to normal push-button operation,
PORTAGE,Portage #1,CORNER OF CENTRAL AND BERTEAU,Continuous flow - To be assessed for repair/replacement/removal,
PORTAGE,Portage #2,DOG AREA,Passed testing - returned to normal push-button operation,
PORTAGE,Portage #3,TENNIS COURT,Passed testing - returned to normal push-button operation,
PORTAGE,Portage #4,"SOUTH OF TENNIS COURT, ON PATH",Passed testing - returned to normal push-button operation,
PORTAGE,Portage #5,"POOL DECK, NORTH",Passed testing - returned to normal push-button operation,
PORTAGE,Portage #6,"SOUTHWEST OF FIELDHOUSE, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
PORTAGE,Portage #7,"POOL DECK, SOUTH",Continuous flow - To be assessed for repair/replacement/removal,
PORTAGE,Portage #8,PLAYGROUND,Passed testing - returned to normal push-button operation,
PORTAGE,Portage #9,"EAST SIDE OF PARK, SOUTH OF POOL, ON PATH",Passed testing - returned to normal push-button operation,
PORTAGE,Portage #10,"BETWEEN PLAYGROUND AND BASEBALL DIAMOND, ON PATH",Passed testing - returned to normal push-button operation,
PORTAGE,Portage #11,"SOUTH OF BALLFIELDS, NORTH OF NATURE GARDEN",Continuous flow - To be assessed for repair/replacement/removal,
PORTAGE,Portage #12,AT CENTRAL AND IRVING,Passed testing - returned to normal push-button operation,
PORTAGE,Portage #13,"SOUTH SIDE OF PARK, AT IRVING AND LINDER",Continuous flow - To be assessed for repair/replacement/removal,
PORTAGE,Portage #14,"SOUTHEAST CORNER OF PARK, IRVING AND LONG",Continuous flow - To be assessed for repair/replacement/removal,
POTTAWATTOMIE,Pottawattomie #1,DOG AREA,Passed testing - returned to normal push-button operation,
POTTAWATTOMIE,Pottawattomie #2,AT FARGO AND WOLCOTT ENTRANCE,Passed testing - returned to normal push-button operation,
POTTAWATTOMIE,Pottawattomie #3,NORTH EAST CORNER OF PARKING LOT NEAR EQUIPMENT SHED,Continuous flow - To be assessed for repair/replacement/removal,
POTTAWATTOMIE,Pottawattomie #4,NORTHEAST CORNER OF TURF SOCCER FIELD,Passed testing - returned to normal push-button operation,
POTTAWATTOMIE,Pottawattomie #5,IN PLAYGROUND,Passed testing - returned to normal push-button operation,
PRAIRIE WOLF,Prairie Wolf #1,AT ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
PRITZKER,Pritzker #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
PRIVET,Privet #1,AT ENTRANCE ON SHEFFIELD,Continuous flow - To be assessed for repair/replacement/removal,
PROSPECT GARDENS,Prospect Gardens #1,NORTHEAST,Passed testing - returned to normal push-button operation,
PROSPECT GARDENS,Prospect Gardens #2,SOUTHWEST,Continuous flow - To be assessed for repair/replacement/removal,
PULASKI (CASIMIR),Pulaski (Casimir) #1,ON FIELDHOUSE TERRACE WEST,Passed testing - returned to normal push-button operation,
PULASKI (CASIMIR),Pulaski (Casimir) #2,ON FIELDHOUSE TERRACE EAST,Passed testing - returned to normal push-button operation,
PULASKI (CASIMIR),Pulaski (Casimir) #3,"ON PATH, NORTH OF SPRAY FEATURE",Passed testing - returned to normal push-button operation,
PULASKI (CASIMIR),Pulaski (Casimir) #5,ON POOL DECK,Passed testing - returned to normal push-button operation,
RAILROAD JUNCTION,Railroad Junction #1,AT ENTRANCE ON MARYLAND,Continuous flow - To be assessed for repair/replacement/removal,
RAINBOW BEACH,Rainbow Beach #1,SOUTH OF MARINE BUILDING ON PATH,Passed testing - returned to normal push-button operation,
RAINBOW BEACH,Rainbow Beach #2,"ON SEAWALL, NORTHEAST SIDE OF PARKINGLOT",Passed testing - returned to normal push-button operation,
RAINBOW BEACH,Rainbow Beach #3,"ON PATH, NORTH SIDE OF PARKING LOT",Passed testing - returned to normal push-button operation,
RAINBOW BEACH,Rainbow Beach #4,HIGH FOUNTAIN ON BEACH HOUSE,Passed testing - returned to normal push-button operation,
RAINBOW BEACH,Rainbow Beach #5,LOW FOUNTAIN ON BEACH HOUSE,Passed testing - returned to normal push-button operation,
RAINBOW BEACH,Rainbow Beach #6,EAST SIDE OF TENNIS COURT,Passed testing - returned to normal push-button operation,
RAINBOW BEACH,Rainbow Beach #7,SOUTHEAST SIDE OF BASEBALL DIAMOND,Passed testing - returned to normal push-button operation,
RAINEY (EDWARD),Rainey (Edward) #1,"BEHIND NORTHWEST BASEBALL DIAMOND, ON PATH",Passed testing - returned to normal push-button operation,
RAINEY (EDWARD),Rainey (Edward) #2,"BETWEEN WESTERN BALL FIELDS, ON PATH",Passed testing - returned to normal push-button operation,
RAINEY (EDWARD),Rainey (Edward) #3,AT ENTRANCE ON 79TH,Passed testing - returned to normal push-button operation,
RAVENSWOOD MANOR,Ravenswood Manor #1,NORTH SIDE OF PLAYGROUND,Passed testing - returned to normal push-button operation,
RENAISSANCE,Renaissance #1,AT ENTRANCE ON 79TH AND THROOP,Passed testing - returned to normal push-button operation,
REVERE (PAUL),Revere (Paul) #1,CORNER OF IRVING AND CAMPBELL,Passed testing - returned to normal push-button operation,
REVERE (PAUL),Revere (Paul) #2,"ON PATH, BEHIND HOME PLATE OF NORTHWEST DIAMOND",Continuous flow - To be assessed for repair/replacement/removal,
REVERE (PAUL),Revere (Paul) #3,WEST OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
REVERE (PAUL),Revere (Paul) #4,"ON PATH, ON FIRST BASE LINE OF SOUTHWEST DIAMOND",Passed testing - returned to normal push-button operation,
REYES (GUADALUPE),Reyes (Guadalupe) #1,"NORTH SIDE OF PARK, ON 19TH",Passed testing - returned to normal push-button operation,
RIDGE,Ridge #1,TENNIS COURTS,Continuous flow - To be assessed for repair/replacement/removal,
RIDGE,Ridge #2,SOUTH OF PARKING LOT ON PATH,Passed testing - returned to normal push-button operation,
RIDGE,Ridge #3,EAST OF SOUTHEAST BASEBALL DIAMOND,Inactive. Under repair,
RIIS (JACOB),Riis (Jacob) #1,"ON WRIGHTWOOD, EAST OF MOODY",Continuous flow - To be assessed for repair/replacement/removal,
RIIS (JACOB),Riis (Jacob) #2,"ON WRIGHTWOOD, WEST OF MOODY",Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #3,ON WRIGHTWOOD AT MELVINA,Continuous flow - Vandalized,
RIIS (JACOB),Riis (Jacob) #4,"ON WRIGHTWOOD, AT MOBILE",In flushing protocol - 2017 EPA Test pending,
RIIS (JACOB),Riis (Jacob) #5,"SOUTH OF TENNIS COURT, NORTHWEST OF TRACK",Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #6,EAST OF SECURITY BUILDING,Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #7,EAST OF NARRAGANSETT AND MULLIGAN,Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #8,SOUTHEAST OF SECURITY BUILDING,Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #9,NORTH OF LANDSCAPE BUILDING,Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #10,NORTH OF POOL,In flushing protocol - 2017 EPA Test pending,
RIIS (JACOB),Riis (Jacob) #11,SPRAY POOL,Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #12,AT FULLERTON AND MERRIMAC,In flushing protocol - 2017 EPA Test pending,
RIIS (JACOB),Riis (Jacob) #13,SOUTH OF SPRAY POOL,Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #14,ON POOL BUILDING-HIGH,Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #15,ON POOL BUILDING-LOW,Passed testing - returned to normal push-button operation,
RIIS (JACOB),Riis (Jacob) #16,ON POOL DECK,Passed testing - returned to normal push-button operation,
RIVER,River #1,NORTHWEST OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
RIVER,River #2,DECK OF SPRAYPOOL,Passed testing - returned to normal push-button operation,
RIVER,River #3,DECK OF SWIMMING POOL,Passed testing - returned to normal push-button operation,
RIVER,River #4,IN PLAYLOT,Passed testing - returned to normal push-button operation,
RIVER,River #5,IN DOG AREA,Passed testing - returned to normal push-button operation,
RIVER,River #6,WEST OF SAND VOLLEYBALL COURT,Passed testing - returned to normal push-button operation,
RIVER,River #7,"CENTERED HALFWAY BETWEEN RIVER AND FRANCISCO, AT ABOUT WINNEMAC",Passed testing - returned to normal push-button operation,
RIVER,River #8,BOATHOUSE AT WEST RIVER PARK,Passed testing - returned to normal push-button operation,
ROBERTS (DANIEL) SQUARE,Roberts (Daniel) Square #1,"SOUTHWEST CORNER OF PARK, AT ARGYLE AND LOCKWOOD",Passed testing - returned to normal push-button operation,
ROBICHAUX (JOSEPH),Robichaux (Joseph) #1,SOUTHEAST CORNER OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
ROBICHAUX (JOSEPH),Robichaux (Joseph) #2,ON PATH NORTH OF 92ND,Passed testing - returned to normal push-button operation,
ROBICHAUX (JOSEPH),Robichaux (Joseph) #3,ON PATH AT 91ST,Continuous flow - To be assessed for repair/replacement/removal,
ROBINSON (JACKIE),Robinson (Jackie) #1,NORTH OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
ROBINSON (JACKIE),Robinson (Jackie) #2,"SOUTH SIDE OF PARK, AT MORGAN",Passed testing - returned to normal push-button operation,
ROGERS (PHILLIP),Rogers (Phillip) #1,SOUTHEAST CORNER OF ROCKWELL PARKING LOT,Continuous flow - To be assessed for repair/replacement/removal,
ROGERS (PHILLIP),Rogers (Phillip) #2,BETWEEN TWO PLAY AREAS,Passed testing - returned to normal push-button operation,
ROGERS (PHILLIP),Rogers (Phillip) #3,"ON PATH, EAST OF PLAYGROUND",Passed testing - returned to normal push-button operation,
ROGERS (PHILLIP),Rogers (Phillip) #4,"ON PATH, ABOUT CHASE AND ROCKWELL",Continuous flow - To be assessed for repair/replacement/removal,
ROGERS (PHILLIP) BEACH,Rogers (Phillip) Beach #1,NORTHWEST CORNER OF TENNIS COURTS,Continuous flow - To be assessed for repair/replacement/removal,
RONAN (GEORGE),Ronan (George) #1,SOUTH OF PLAYLOT,Passed testing - returned to normal push-button operation,
RONAN (GEORGE),Ronan (George) #2,NORTH OF LAWRENCE ON PATH,Passed testing - returned to normal push-button operation,
ROOSEVELT (THEODORE),Roosevelt (Theodore) #1,"EAST SIDE OF PARK, NORTH OF TENNIS COURTS",Passed testing - returned to normal push-button operation,
ROSEDALE,Rosedale #1,SPRAY FEATURE,Passed testing - returned to normal push-button operation,
ROSEDALE,Rosedale #2,WEST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
ROSENBLUM (J. LESLIE),Rosenblum (J. Leslie) #1,"EAST OF SPRAYPOOL, NW CORNER",Passed testing - returned to normal push-button operation,
ROSENBLUM (J. LESLIE),Rosenblum (J. Leslie) #2,CENTER OF RUNNING TRACK ON 75TH,Passed testing - returned to normal push-button operation,
ROSENBLUM (J. LESLIE),Rosenblum (J. Leslie) #3,CENTER OF RUNNING TRACK ON 76TH,Passed testing - returned to normal push-button operation,
ROWAN (WILLIAM),Rowan (William) #1,ON PATH FROM ENTRANCE FROM AVENUE O,Passed testing - returned to normal push-button operation,
ROWAN (WILLIAM),Rowan (William) #2,"BEHIND NORTHEAST DIAMOND, ON PATH",Passed testing - returned to normal push-button operation,
ROWAN (WILLIAM),Rowan (William) #3,"NORTH SIDE OF FIELDHOUSE, ON PATH",Passed testing - returned to normal push-button operation,
RUSSELL (MARTIN) SQUARE,Russell (Martin) Square #1,"NORTHEAST CORNER OF PARK, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
RUSSELL (MARTIN) SQUARE,Russell (Martin) Square #2,"SOUTHEAST CORNER OF FIELDHOUSE, ON PATH",Passed testing - returned to normal push-button operation,
RUSSELL (MARTIN) SQUARE,Russell (Martin) Square #3,POOL DECK,Continuous flow - To be assessed for repair/replacement/removal,
RUSSELL (MARTIN) SQUARE,Russell (Martin) Square #4,"3RD BASE LINE OF WEST DIAMOND, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
RUSSELL (MARTIN) SQUARE,Russell (Martin) Square #5,PLAYGROUND,Passed testing - returned to normal push-button operation,
RUSSELL (MARTIN) SQUARE,Russell (Martin) Square #6,"NORTHWEST OF TENNIS COURTS, ON PATH",In flushing protocol - 2017 EPA Test pending,
RUTHERFORD SAYRE,Rutherford Sayre #1,EAST OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
RUTHERFORD SAYRE,Rutherford Sayre #2,IN PLAYGROUND,Passed testing - returned to normal push-button operation,
RUTHERFORD SAYRE,Rutherford Sayre #3,"IN FIELD, NORTH OF TRAIN TRACKS, WEST OF OAK PARK",Passed testing - returned to normal push-button operation,
SACRAMENTO,Sacramento #1,AT PARK ENTRANCE,Passed testing - returned to normal push-button operation,
SAUGANASH,Sauganash #1,"NORTHWEST CORNER OF PARK, ON PATH",Passed testing - returned to normal push-button operation,
SAUGANASH,Sauganash #2,AT PLAYGROUND,Passed testing - returned to normal push-button operation,
SAUGANASH,Sauganash #3,NORTH OF TENNIS COURT,Passed testing - returned to normal push-button operation,
SCHAEFER (EDWARD),Schaefer (Edward) #1,AT ENTRANCE ON MARSHFIELD,Passed testing - returned to normal push-button operation,
SCHREIBER,Schreiber #1,SOUTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
SCHREIBER,Schreiber #2,IN COMMUNITY GARDEN,Passed testing - returned to normal push-button operation,
SCOTTSDALE,Scottsdale #1,NORTHEAST CORNER OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
SENECA,Seneca #1,CENTER OF PARK,Passed testing - returned to normal push-button operation,
SENIOR CITIZENS MEML.,Senior Citizens Meml. #1,CORNER OF LYNDALE AND OAKLEY,Continuous flow - To be assessed for repair/replacement/removal,
"SENKA (EDWARD ""DUKE"")","Senka (Edward ""Duke"") #1",NORTHWEST OF BASKETBALL COURTS,Passed testing - returned to normal push-button operation,
"SENKA (EDWARD ""DUKE"")","Senka (Edward ""Duke"") #2",PLAYGROUND,Passed testing - returned to normal push-button operation,
"SENKA (EDWARD ""DUKE"")","Senka (Edward ""Duke"") #3",SOUTH SIDE OF SOCCER FIELD,Passed testing - returned to normal push-button operation,
"SENKA (EDWARD ""DUKE"")","Senka (Edward ""Duke"") #4","NORTHEAST CORNER OF PARK, ON PATH",Passed testing - returned to normal push-button operation,
SENN (NICHOLAS),Senn (Nicholas) #1,"AT WALKWAY BETWEEN SENN SOUTH AND SENN NORTH, ON THORNDALE",Passed testing - returned to normal push-button operation,
SENN (NICHOLAS),Senn (Nicholas) #2,AT PARK ENTRANCE AT RIDGE AND CLARK,Passed testing - returned to normal push-button operation,
SENN (NICHOLAS),Senn (Nicholas) #3,SOUTH CORNER OF TENNIS COURT,Continuous flow - To be assessed for repair/replacement/removal,
SENN (NICHOLAS),Senn (Nicholas) #4,SOUTHEAST CORNER OF SOCCER FIELD,Passed testing - returned to normal push-button operation,
SENN (NICHOLAS),Senn (Nicholas) #5,PLAYGROUND,Passed testing - returned to normal push-button operation,
SEWARD (WILLIAM),Seward (William) #1,WEST OF ENTRANCE AT DIVISION AND SEDGEWICK,Passed testing - returned to normal push-button operation,
SEWARD (WILLIAM),Seward (William) #2,"SOUTHEAST OF ELM CUL-DE-SAC, WEST OF BASKETBALL COURT",Continuous flow - To be assessed for repair/replacement/removal,
SEWARD (WILLIAM),Seward (William) #3,"SOUTH SIDE OF FIELDHOUSE, NEXT TO BASKETBALL COURTS",Passed testing - returned to normal push-button operation,
SHABBONA,Shabbona #1,PLAYGROUND,Passed testing - returned to normal push-button operation,
SHABBONA,Shabbona #2,"SOUTHEAST OF TENNIS COURT, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
SHABBONA,Shabbona #3,"MIDDLE OF PARK, EAST OF SAYRE",Passed testing - returned to normal push-button operation,
SHABBONA,Shabbona #4,"SOUTH END OF PARK, NORTH OF SCHOOL",Passed testing - returned to normal push-button operation,
SHEDD (JOHN G.),Shedd (John G.) #1,EAST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
SHEIL (BERNARD) COMM. CTR.,Sheil (Bernard) Comm. Ctr. #1,NEXT TO ENTRANCE,Passed testing - returned to normal push-button operation,
SHERIDAN (PHILIP HENRY),Sheridan (Philip Henry) #1,"FIRST BASE LINE, NORTH OF BLEACHERS",Passed testing - returned to normal push-button operation,
